No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
85,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,377.04M,-,9.71,0.31%,806555
86,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,-,-,9.95,-0.40%,21531
87,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA,153.18M,3.62,16.4,-2.21%,19086
88,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,731.62M,9.04,15.86,0.06%,265515
89,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,966.88M,-,17.34,-1.48%,374138
90,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,127.42M,-,1.05,-3.67%,666068
91,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,654.07M,-,2.38,-6.30%,1623752
92,ACTDU,ArcLight Clean Transition Corp. II,Financial,Shell Companies,USA,-,-,9.9,0.00%,15524
93,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,322.91M,4.25,6.59,3.13%,354062
94,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,139.94M,12.11,40.68,-0.78%,3258
95,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA,381.08M,-,36.81,-0.25%,15564
96,ACVA,ACV Auctions Inc.,Technology,Software - Application,USA,3.11B,-,20.03,-0.50%,1172638
97,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,39.39,0.38%,6457
98,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,105.29,0.23%,1291468
99,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,108.01,0.31%,128391
100,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,58.36,0.43%,470089
101,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,60.34M,-,5.78,8.04%,142787
102,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA,43.61M,-,28.69,-8.16%,113035
103,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,725.97M,-,16.77,-0.30%,5223
104,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,753.10M,-,4.94,0.00%,1337034
105,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,314.61B,57.62,666.59,0.29%,1635224
106,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,5.10B,45.86,74.61,-0.36%,285546
107,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,2.07B,-,27.95,-6.83%,401246
108,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,332.71M,-,9.7,0.21%,58965
109,ADERU,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.07,0.20%,6
110,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,128.57M,3.5,6.81,1.64%,78838
111,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA,333.62M,-,9.67,0.00%,314
112,ADGI,"Adagio Therapeutics, Inc.",Healthcare,Biotechnology,USA,4.12B,-,42.39,18.28%,590176
113,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,60.13B,35.55,162.44,-0.11%,2378280
